thang,co_so,so_tin,nhom,n_nhom,trung_vi_vnd_m2,p10_vnd_m2,p90_vnd_m2
2026-04,ghi_nhan,6,tach_thua_150_300,3,,,
2026-04,ghi_nhan,6,lo_500_tho_cu,1,,,
2026-04,ghi_nhan,6,dat_tren_1000,1,,,
2026-04,ghi_nhan,6,view,1,,,
2026-04,ghi_nhan,6,nha,1,,,
2026-04,posted,6,tach_thua_150_300,3,,,
2026-04,posted,6,lo_500_tho_cu,1,,,
2026-04,posted,6,dat_tren_1000,1,,,
2026-04,posted,6,view,1,,,
2026-04,posted,6,nha,1,,,
2026-04,refreshed_guland,0,tach_thua_150_300,0,,,
2026-04,refreshed_guland,0,lo_500_tho_cu,0,,,
2026-04,refreshed_guland,0,dat_tren_1000,0,,,
2026-04,refreshed_guland,0,view,0,,,
2026-04,refreshed_guland,0,nha,0,,,
2026-05,ghi_nhan,5,tach_thua_150_300,1,,,
2026-05,ghi_nhan,5,lo_500_tho_cu,0,,,
2026-05,ghi_nhan,5,dat_tren_1000,2,,,
2026-05,ghi_nhan,5,view,1,,,
2026-05,ghi_nhan,5,nha,1,,,
2026-05,posted,3,tach_thua_150_300,0,,,
2026-05,posted,3,lo_500_tho_cu,0,,,
2026-05,posted,3,dat_tren_1000,1,,,
2026-05,posted,3,view,0,,,
2026-05,posted,3,nha,1,,,
2026-05,refreshed_guland,2,tach_thua_150_300,1,,,
2026-05,refreshed_guland,2,lo_500_tho_cu,0,,,
2026-05,refreshed_guland,2,dat_tren_1000,1,,,
2026-05,refreshed_guland,2,view,1,,,
2026-05,refreshed_guland,2,nha,0,,,
2026-06,ghi_nhan,135,tach_thua_150_300,48,3820128,2757258,8757692
2026-06,ghi_nhan,135,lo_500_tho_cu,33,2956521,2173395,3863651
2026-06,ghi_nhan,135,dat_tren_1000,21,1000000,308461,2458649
2026-06,ghi_nhan,135,view,35,3005617,2080799,4597560
2026-06,ghi_nhan,135,nha,16,6269262,3490266,11669354
2026-06,posted,46,tach_thua_150_300,7,,,
2026-06,posted,46,lo_500_tho_cu,11,3059125,2655889,3638814
2026-06,posted,46,dat_tren_1000,10,1272635,865931,2462784
2026-06,posted,46,view,7,,,
2026-06,posted,46,nha,12,7187848,4939669,12004838
2026-06,refreshed_guland,89,tach_thua_150_300,41,3726708,2750000,4651162
2026-06,refreshed_guland,89,lo_500_tho_cu,22,2763972,2064709,3869051
2026-06,refreshed_guland,89,dat_tren_1000,11,702370,153500,2172338
2026-06,refreshed_guland,89,view,28,3028694,2157129,4566080
2026-06,refreshed_guland,89,nha,4,,,
2026-07,ghi_nhan,75,tach_thua_150_300,9,,,
2026-07,ghi_nhan,75,lo_500_tho_cu,18,2677165,1849179,4426136
2026-07,ghi_nhan,75,dat_tren_1000,28,907633,201944,2197872
2026-07,ghi_nhan,75,view,12,3694422,1037749,5825611
2026-07,ghi_nhan,75,nha,8,,,
2026-07,posted,30,tach_thua_150_300,5,,,
2026-07,posted,30,lo_500_tho_cu,6,,,
2026-07,posted,30,dat_tren_1000,7,,,
2026-07,posted,30,view,4,,,
2026-07,posted,30,nha,6,,,
2026-07,refreshed_guland,45,tach_thua_150_300,4,,,
2026-07,refreshed_guland,45,lo_500_tho_cu,12,3156137,1858285,4528409
2026-07,refreshed_guland,45,dat_tren_1000,21,461818,200000,1500000
2026-07,refreshed_guland,45,view,8,,,
2026-07,refreshed_guland,45,nha,2,,,
2026-08,ghi_nhan,54,tach_thua_150_300,10,3512276,2543067,6052857
2026-08,ghi_nhan,54,lo_500_tho_cu,12,2632726,1224011,4692530
2026-08,ghi_nhan,54,dat_tren_1000,9,,,
2026-08,ghi_nhan,54,view,12,3189851,2578298,6191659
2026-08,ghi_nhan,54,nha,9,,,
2026-08,posted,32,tach_thua_150_300,5,,,
2026-08,posted,32,lo_500_tho_cu,7,,,
2026-08,posted,32,dat_tren_1000,6,,,
2026-08,posted,32,view,11,3423180,2586206,6224066
2026-08,posted,32,nha,8,,,
2026-08,refreshed_guland,22,tach_thua_150_300,5,,,
2026-08,refreshed_guland,22,lo_500_tho_cu,5,,,
2026-08,refreshed_guland,22,dat_tren_1000,3,,,
2026-08,refreshed_guland,22,view,1,,,
2026-08,refreshed_guland,22,nha,1,,,
2026-09,ghi_nhan,171,tach_thua_150_300,21,3671328,2320000,8888888
2026-09,ghi_nhan,171,lo_500_tho_cu,38,2260586,1470435,3769723
2026-09,ghi_nhan,171,dat_tren_1000,35,1439677,624900,3875739
2026-09,ghi_nhan,171,view,15,3157894,1183152,6261337
2026-09,ghi_nhan,171,nha,35,6213017,2105263,39117647
2026-09,posted,42,tach_thua_150_300,4,,,
2026-09,posted,42,lo_500_tho_cu,7,,,
2026-09,posted,42,dat_tren_1000,5,,,
2026-09,posted,42,view,9,,,
2026-09,posted,42,nha,14,5180457,1477000,10978321
2026-09,refreshed_guland,129,tach_thua_150_300,17,4059040,2938541,17333333
2026-09,refreshed_guland,129,lo_500_tho_cu,31,2158273,1358695,3562340
2026-09,refreshed_guland,129,dat_tren_1000,30,1382503,598247,2830267
2026-09,refreshed_guland,129,view,6,,,
2026-09,refreshed_guland,129,nha,21,6325301,2300000,52496250
2026-W39,weekly_snapshot,638,tach_thua_150_300,128,3493589,2529272,4836515
2026-W39,weekly_snapshot,638,lo_500_tho_cu,155,2276867,1446945,3904022
2026-W39,weekly_snapshot,638,dat_tren_1000,129,1190476,304369,2664982
2026-W39,weekly_snapshot,638,view,140,3016162,1735189,4725903
2026-W39,weekly_snapshot,638,nha,97,5509641,1930303,16062650
